Sum of medals_won,Column Labels,,
Row Labels,F,M,Grand Total
1896,,380,380
1900,33,1903,1936
1904,16,1285,1301
1906,11,1722,1733
1908,47,3054,3101
1912,87,3953,4040
1920,134,4158,4292
1924,261,5432,5693
1928,437,5137,5574
1932,369,2952,3321
1936,549,6852,7401
1948,761,6719,7480
1952,1682,7676,9358
1956,1139,5295,6434
1960,1730,7505,9235
1964,1752,7728,9480
1968,2193,8286,10479
1972,2608,9351,11959
1976,2606,7896,10502
1980,2186,6751,8937
1984,2983,8605,11588
1988,4223,10453,14676
1992,5178,11235,16413
1994,1105,2055,3160
1996,5008,8772,13780
1998,1384,2221,3605
2000,5431,8390,13821
2002,1582,2527,4109
2004,5546,7897,13443
2006,1757,2625,4382
2008,5816,7786,13602
2010,1847,2555,4402
2012,5815,7105,12920
2014,2023,2868,4891
2016,6223,7465,13688
Grand Total,74522,196594,271116
